school,homepage,name,areas
Washington State University,http://www.google.com/search?q=Bolong%20Zeng%20Washington%20State%20University&btnI,Bolong Zeng,
University of Athens,http://cgi.di.uoa.gr/~shadj/,Stathes Hadjiefthymiades,"[""ir""]"
University of Queensland,https://communication-arts.uq.edu.au/tutor-contact-details,Richard N. Thomas,
Rutgers University,http://www.cs.rutgers.edu/~muthu/,S. Muthukrishnan,"[""mlmining"",""ai"",""ir"",""comm"",""act"",""mod""]"
Brigham Young University,http://www.google.com/search?q=Daniel%20Zappala%20Brigham%20Young%20University&btnI,Daniel Zappala,"[""chi"",""comm""]"
University of Colorado Boulder,http://systems.cs.colorado.edu/people/faculty/dirk-grunwald/,Dirk Grunwald,"[""hpc"",""mobile"",""arch"",""comm"",""ops""]"
Boston University,https://www.cs.bu.edu/~byers/,John W. Byers,"[""comm"",""mlmining""]"
Virginia Tech,http://www.cs.vt.edu/~chjung,Changhee Jung,"[""soft"",""arch"",""plan""]"
George Washington University,https://www.seas.gwu.edu/evan-drumwright,Evan Drumwright,"[""robotics""]"
University of Toronto,http://www.cs.toronto.edu/~fbacchus/,Fahiem Bacchus,"[""ai"",""log"",""act""]"
Imperial College London,http://www.imperial.ac.uk/people/j.darlington,John Darlington,"[""hpc""]"
University of Tartu,http://www.ut.ee/en/read-why-varmo-vene-running-dean,Varmo Vene,"[""soft""]"
Washington University - St. Louis,http://www.cse.wustl.edu/~cdgill/,Christopher D. Gill,"[""mobile""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~yaser/,Yaser Sheikh,"[""ai"",""graph"",""robotics"",""vision"",""mlmining""]"
Naval Postgraduate School,http://faculty.nps.edu/luqi/,Luqi,
University of Washington,https://homes.cs.washington.edu/~ruzzo/,Walter L. Ruzzo,"[""bio""]"
University of Michigan,http://www.eecs.umich.edu/ai/people/wellman/,Michael P. Wellman,"[""ai"",""ir""]"
Cornell University,http://aap.cornell.edu/people/donald-greenberg,Donald P. Greenberg,"[""graph""]"
